https://w3id.org/okn/o/sd#Image,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,http://www.w3.org/ns/prov#hadPrimarySource,http://www.w3.org/ns/prov#value
pihm_sample_Pongo,Sample visualization of a flooding map for PIHM,Visualization of a flooding simulation on the Pongo Area in 2017 using a calibrated version of PIHM,https://w3id.org/okn/i/mint/PIHM,https://publisher.mint.isi.edu/VPDku/Animation_Flood.gif
pihm_explanation_diagram,PIHM summary,A diagram explaining the processes on PIHM and its grid,http://www.pihm.psu.edu/pihm_home.html,http://www.pihm.psu.edu/pcs.png
pihm_forrester,Forrester diagram of PIHM,A forrester diagram explaining PIHM's main processes and their interactions,http://www.pihm.psu.edu/pihm_home.html,http://www.pihm.psu.edu/images/pihm_kernel.jpg
pihm_logo,Logo used for PIHM,Logo of the Penn State Integrated Hydrology Model (PIHM),http://www.pihm.psu.edu/pihm_home.html,http://www.pihm.psu.edu/applications/images/tonzi.png
,,,,
cycles_logo,Cycles logo,Logo for the Cycles agroecosystem simulation model,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles/leadImage_leadimage
cycles_forrester,Forrester diagram for Cycles,Forrester diagram explaining Cycles main processes and their interactions,,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/cycles_forrester.png
cycles_screenshot1,Cycles crop description interface,Cycles has a generic plant growth and development model that simulates grasses and other herbaceous crops; legumes or non-legumes; perennial and annual crops; and woody crops. It requires minimum inputs from the user.,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles,https://plantscience.psu.edu/research/labs/kemanian/images/cycles-crop-description-interface/image_preview
cycles_screenshot2,Cycles tillage setup interface,Cycles allows the user to select operations from dozens of tillage tools. These tools disturb the soil by mixing soil layers and all the components in them; breaking up residues and accelerating soil organic matter turnover. Cycles simulates till and no-till conditions; manure additions; and all the properties that affect soil surface processes.,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles,https://plantscience.psu.edu/research/labs/kemanian/images/cycles-tillage-setup-interface/image_preview
,,,,
modflow_2005,Modflow 2005 diagram,A discretized hypothetical aquifer system. (Modified from McDonald and Harbaugh. 1988.),https://www.usgs.gov/software/modflow-2005-usgs-three-dimensional-finite-difference-ground-water-model,https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/styles/side_image/public/thumbnails/image/modflow5-layers.jpg
,,,,
hand_logo,,,,
hand_explanation,,,,
hand_explanation2,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
remote_sensing_output,Remote sensing analysis output,A visualization of the estimation for river bed growth using remote sensing data analysis,https://github.com/mintproject/EthiopiaDemo/tree/master/RemoteSensing,https://github.com/mintproject/EthiopiaDemo/raw/master/RemoteSensing/Box-1667-sec-2.gif
remote_sensing_river_bed_variation,Remote sensing analysis river depth variation,A visualization of the estimation for river bed growth using remote sensing data analysis. The visualization shows river depth variation,https://github.com/mintproject/EthiopiaDemo/tree/master/RemoteSensing,http://umnlcc.cs.umn.edu/carto-test/
